ARRAY_CODE,INTERNAL_CODE,POPULATION_CODE,Deparment,Status
9967505091_R02C01,Afro_des1,Afro_des,Ica,Admixed
9967505130_R03C01,Afro_des10,Afro_des,Ica,Admixed
9967505130_R04C01,Afro_des11,Afro_des,Ica,Admixed
9967505130_R05C01,Afro_des12,Afro_des,Ica,Admixed
9967505130_R06C01,Afro_des13,Afro_des,Ica,Admixed
9967505130_R07C01,Afro_des14,Afro_des,Ica,Admixed
9902958120_R08C01,Afro_des15,Afro_des,Ica,Admixed
9967505091_R01C01,Afro_des16,Afro_des,Ica,Admixed
202158170029_R03C01,Afro_des17,Afro_des,Ica,Admixed
202158170029_R04C01,Afro_des18,Afro_des,Ica,Admixed
202158170029_R05C01,Afro_des19,Afro_des,Ica,Admixed
9967505091_R03C01,Afro_des2,Afro_des,Ica,Admixed
202158170029_R06C01,Afro_des20,Afro_des,Ica,Admixed
202158170029_R07C01,Afro_des21,Afro_des,Ica,Admixed
202158170029_R08C01,Afro_des22,Afro_des,Ica,Admixed
202158170058_R01C01,Afro_des23,Afro_des,Ica,Admixed
202158170058_R02C01,Afro_des24,Afro_des,Ica,Admixed
202158170058_R03C01,Afro_des25,Afro_des,Ica,Admixed
202158170058_R04C01,Afro_des26,Afro_des,Ica,Admixed
202158170058_R05C01,Afro_des27,Afro_des,Ica,Admixed
202158170058_R06C01,Afro_des28,Afro_des,Ica,Admixed
202158170058_R07C01,Afro_des29,Afro_des,Ica,Admixed
9967505091_R04C01,Afro_des3,Afro_des,Ica,Admixed
202158170058_R08C01,Afro_des30,Afro_des,Ica,Admixed
202158170059_R01C01,Afro_des31,Afro_des,Ica,Admixed
202158170059_R02C01,Afro_des32,Afro_des,Ica,Admixed
202203770001_R03C01,Afro_des33,Afro_des,Ica,Admixed
202203770001_R04C01,Afro_des34,Afro_des,Ica,Admixed
202203770001_R05C01,Afro_des35,Afro_des,Ica,Admixed
202203770001_R06C01,Afro_des36,Afro_des,Ica,Admixed
202203770001_R07C01,Afro_des37,Afro_des,Ica,Admixed
202203770001_R08C01,Afro_des38,Afro_des,Ica,Admixed
202203770002_R01C01,Afro_des39,Afro_des,Ica,Admixed
9967505091_R05C01,Afro_des4,Afro_des,Ica,Admixed
202203770002_R02C01,Afro_des40,Afro_des,Ica,Admixed
202203770002_R03C01,Afro_des41,Afro_des,Ica,Admixed
202203770002_R04C01,Afro_des42,Afro_des,Ica,Admixed
202203770002_R05C01,Afro_des43,Afro_des,Ica,Admixed
202203770002_R06C01,Afro_des44,Afro_des,Ica,Admixed
202203770002_R07C01,Afro_des45,Afro_des,Ica,Admixed
202203770002_R08C01,Afro_des46,Afro_des,Ica,Admixed
202158170013_R01C01,Afro_des47,Afro_des,Ica,Admixed
202158170013_R02C01,Afro_des48,Afro_des,Ica,Admixed
9967505091_R06C01,Afro_des5,Afro_des,Ica,Admixed
9967505091_R07C01,Afro_des6,Afro_des,Ica,Admixed
9967505091_R08C01,Afro_des7,Afro_des,Ica,Admixed
9967505130_R01C01,Afro_des8,Afro_des,Ica,Admixed
9967505130_R02C01,Afro_des9,Afro_des,Ica,Admixed
201236490055_R01C01,Ancash1,Ancash,Ancash,Admixed
201236490020_R02C01,Ancash10,Ancash,Ancash,Admixed
